timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645677618938,1458,38 launch,200,,jp@gc - Stepping Thread Group 1-21,text,true,,4728,370,80,80,https://petstore.octoperf.com/actions/Catalog.action,1458,0,1214
1645677616011,1451,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-39,,true,,5021,875,80,80,null,0,3003,0
1645677619014,1451,42 log out,200,,jp@gc - Stepping Thread Group 1-39,text,true,,5021,875,80,80,https://petstore.octoperf.com/actions/Catalog.action,1220,0,744
1645677616124,1435,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-70,,true,,5021,875,80,80,null,0,3014,0
1645677619138,1435,42 log out,200,,jp@gc - Stepping Thread Group 1-70,text,true,,5021,875,80,80,https://petstore.octoperf.com/actions/Catalog.action,1197,0,754
1645677616125,1443,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-13,,true,,5021,875,80,80,null,0,3013,0
1645677619138,1443,42 log out,200,,jp@gc - Stepping Thread Group 1-13,text,true,,5021,875,80,80,https://petstore.octoperf.com/actions/Catalog.action,1215,0,754
1645677616218,1475,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-80,,true,,5021,875,80,80,null,0,3014,0
1645677619232,1475,42 log out,200,,jp@gc - Stepping Thread Group 1-80,text,true,,5021,875,80,80,https://petstore.octoperf.com/actions/Catalog.action,1235,0,760
1645677616435,1259,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Stepping Thread Group 1-7,,false,,3929,781,80,80,null,0,3013,0
1645677619448,1259,40 login,200,,jp@gc - Stepping Thread Group 1-7,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,80,80,https://petstore.octoperf.com/actions/Account.action,1259,0,786
