timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645600458240,257,39 sign in,200,,Thread Group 1-5,text,true,,3851,445,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,257,0,0
1645600457503,1508,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5021,875,2,2,null,0,1,0
1645600457504,1508,42 log out,200,,Thread Group 1-4,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1278,0,805
1645600458498,2196,40 login,200,"Number of samples in transaction : 5, number of failing samples : 5",Thread Group 1-5,,false,,19647,3905,2,2,null,0,4,0
1645600458499,262,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,2,2,https://petstore.octoperf.com/actions/Account.action,262,0,0
1645600458761,1218,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,1,1,https://petstore.octoperf.com/actions/Account.action,1218,0,749
1645600459980,236,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,236,0,0
1645600460217,247,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,247,0,0
1645600460465,233,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,233,0,0
1645600460082,1505,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,5419,317,2,2,null,0,2,0
1645600460084,1505,38 launch,200,,Thread Group 1-6,text,true,,5419,317,2,2,https://petstore.octoperf.com/actions/Catalog.action,1504,0,1250
1645600461590,231,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,3851,445,2,2,null,0,1,0
1645600461591,231,39 sign in,200,,Thread Group 1-6,text,true,,3851,445,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,231,0,0
1645600460700,1728,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5021,875,2,2,null,0,1,0
1645600460700,1728,42 log out,200,,Thread Group 1-5,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,245,0,0
1645600461822,2378,40 login,200,"Number of samples in transaction : 5, number of failing samples : 5",Thread Group 1-6,,false,,19641,3905,1,1,null,0,4,0
1645600461823,278,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,278,0,0
1645600462101,1342,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,1,1,https://petstore.octoperf.com/actions/Account.action,1342,0,816
1645600463444,236,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,1,1,https://petstore.octoperf.com/actions/Account.action,236,0,0
1645600463680,288,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,1,1,https://petstore.octoperf.com/actions/Account.action,288,0,0
1645600463969,234,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,1,1,https://petstore.octoperf.com/actions/Account.action,234,0,0
1645600464204,1520,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,5021,875,1,1,null,0,0,0
1645600464204,1520,42 log out,200,,Thread Group 1-6,text,true,,5021,875,1,1,https://petstore.octoperf.com/actions/Catalog.action,1264,0,759
