timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645600941595,240,39 sign in,200,,Thread Group 1-5,text,true,,3851,445,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,240,0,0
1645600940850,1484,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5021,875,2,2,null,0,1,0
1645600940851,1484,42 log out,200,,Thread Group 1-4,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1242,0,769
1645600941837,2274,40 login,200,"Number of samples in transaction : 5, number of failing samples : 5",Thread Group 1-5,,false,,19647,3905,2,2,null,0,1,0
1645600941837,256,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,256,0,0
1645600942094,1261,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,1,1,https://petstore.octoperf.com/actions/Account.action,1261,0,758
1645600943355,238,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,2,2,https://petstore.octoperf.com/actions/Account.action,238,0,0
1645600943593,257,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,257,0,0
1645600943850,262,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,262,0,0
1645600943407,1523,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,5419,317,2,2,null,0,0,0
1645600943407,1523,38 launch,200,,Thread Group 1-6,text,true,,5419,317,2,2,https://petstore.octoperf.com/actions/Catalog.action,1523,0,1293
1645600944930,257,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,3849,445,2,2,null,0,2,0
1645600944931,257,39 sign in,200,,Thread Group 1-6,text,true,,3849,445,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,257,0,0
1645600944113,1503,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5021,875,2,2,null,0,1,0
1645600944113,1503,42 log out,200,,Thread Group 1-5,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1219,0,750
1645600945189,2184,40 login,200,"Number of samples in transaction : 5, number of failing samples : 5",Thread Group 1-6,,false,,19643,3905,1,1,null,0,0,0
1645600945189,230,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,230,0,0
1645600945419,1235,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,1,1,https://petstore.octoperf.com/actions/Account.action,1235,0,768
1645600946654,239,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,1,1,https://petstore.octoperf.com/actions/Account.action,239,0,0
1645600946893,235,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,1,1,https://petstore.octoperf.com/actions/Account.action,235,0,0
1645600947128,245,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,1,1,https://petstore.octoperf.com/actions/Account.action,245,0,0
1645600947374,1501,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,5021,875,1,1,null,0,0,0
1645600947374,1501,42 log out,200,,Thread Group 1-6,text,true,,5021,875,1,1,https://petstore.octoperf.com/actions/Catalog.action,237,0,0
